trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final,waitTime,instructedTarget
  1.00000,   0.00010,   0.00000,   4.73341,  10.41959,  -0.71763,  18.39946,  10.62317,   4.60296,  18.92476,  10.55283,   6.02151,   0.00000,   0.00000,   0.00000,   1.00000,   0.00010,   0.00000,   4.01606, -11.06975,  -0.06645,  18.78636,   9.45897,   4.80237,  19.16100,   9.55927,   5.45001,   0.00000,   0.00000,   0.00000,   0.33262,   1.00000, 
  1.00000,   0.00077,  82.00000,   4.73847,  10.43875,  -0.70956,  18.39439,  10.64232,   4.61103,  18.91970,  10.57199,   6.01344,   0.00000,   0.00000,   0.00000,   1.00000,   0.00077,  82.00000,   4.01709, -11.06828,  -0.07218,  18.78534,   9.45749,   4.79663,  19.15997,   9.55780,   5.45574,   0.00000,   0.00000,   0.00000,   0.33262,   1.00000, 
  1.00000,   0.00468,  83.00000,   4.73842,  10.43881,  -0.70947,  18.39445,  10.64238,   4.61112,  18.91975,  10.57205,   6.01335,   0.00000,   0.00000,   0.00000,   1.00000,   0.00468,  83.00000,   4.01692, -11.06864,  -0.07209,  18.78551,   9.45785,   4.79672,  19.16014,   9.55816,   5.45566,   0.00000,   0.00000,   0.00000,   0.33262,   1.00000, 
  1.00000,   0.00874,  84.00000,   4.73849,  10.43876,  -0.70963,  18.39438,  10.64233,   4.61096,  18.91969,  10.57200,   6.01351,   0.00000,   0.00000,   0.00000,   1.00000,   0.00874,  84.00000,   4.01678, -11.06899,  -0.07191,  18.78564,   9.45821,   4.79690,  19.16028,   9.55851,   5.45548,   0.00000,   0.00000,   0.00000,   0.33262,   1.00000, 
  1.00000,   0.01300,  85.00000,   4.73841,  10.43878,  -0.70952,  18.39446,  10.64235,   4.61106,  18.91976,  10.57202,   6.01340,   0.00000,   0.00000,   0.00000,   1.00000,   0.01300,  85.00000,   4.01682, -11.06927,  -0.07191,  18.78560,   9.45848,   4.79690,  19.16024,   9.55878,   5.45548,   0.00000,   0.00000,   0.00000,   0.33262,   1.00000, 
  1.00000,   0.01712,  86.00000,   4.73840,  10.43881,  -0.70949,  18.39447,  10.64238,   4.61109,  18.91978,  10.57205,   6.01338,   0.00000,   0.00000,   0.00000,   1.00000,   0.01712,  86.00000,   4.01686, -11.06954,  -0.07165,  18.78556,   9.45875,   4.79716,  19.16020,   9.55905,   5.45521,   0.00000,   0.00000,   0.00000,   0.33262,   1.00000, 
  1.00000,   0.02127,  87.00000,   4.73847,  10.43880,  -0.70941,  18.39440,  10.64237,   4.61117,  18.91970,  10.57204,   6.01330,   0.00000,   0.00000,   0.00000,   1.00000,   0.02127,  87.00000,   4.01689, -11.06982,  -0.07119,  18.78553,   9.45903,   4.79763,  19.16016,   9.55933,   5.45475,   0.00000,   0.00000,   0.00000,   0.33262,   1.00000, 
  1.00000,   0.02552,  88.00000,   4.73839,  10.43887,  -0.70921,  18.39448,  10.64245,   4.61137,  18.91978,  10.57211,   6.01310,   0.00000,   0.00000,   0.00000,   1.00000,   0.02552,  88.00000,   4.01688, -11.07005,  -0.07092,  18.78554,   9.45926,   4.79789,  19.16018,   9.55957,   5.45449,   0.00000,   0.00000,   0.00000,   0.33262,   1.00000, 
  1.00000,   0.02963,  89.00000,   4.73856,  10.43883,  -0.70917,  18.39431,  10.64240,   4.61142,  18.91962,  10.57207,   6.01305,   0.00000,   0.00000,   0.00000,   1.00000,   0.02963,  89.00000,   4.01683, -11.07033,  -0.07049,  18.78560,   9.45954,   4.79832,  19.16023,   9.55984,   5.45406,   0.00000,   0.00000,   0.00000,   0.33262,   1.00000, 
  1.00000,   0.03374,  90.00000,   4.73853,  10.43889,  -0.70900,  18.39434,  10.64246,   4.61158,  18.91964,  10.57213,   6.01289,   0.00000,   0.00000,   0.00000,   1.00000,   0.03374,  90.00000,   4.01683, -11.07051,  -0.07000,  18.78559,   9.45973,   4.79881,  19.16023,   9.56003,   5.45357,   0.00000,   0.00000,   0.00000,   0.33262,   1.00000, 
  1.00000,   0.03801,  91.00000,   4.73852,  10.43894,  -0.70884,  18.39435,  10.64252,   4.61175,  18.91965,  10.57218,   6.01272,   0.00000,   0.00000,   0.00000,   1.00000,   0.03801,  91.00000,   4.01681, -11.07076,  -0.06947,  18.78561,   9.45997,   4.79934,  19.16024,   9.56027,   5.45304,   0.00000,   0.00000,   0.00000,   0.33262,   1.00000, 
  1.00000,   0.04211,  92.00000,   4.73854,  10.43903,  -0.70859,  18.39433,  10.64260,   4.61199,  18.91964,  10.57227,   6.01248,   0.00000,   0.00000,   0.00000,   1.00000,   0.04211,  92.00000,   4.01692, -11.07084,  -0.06914,  18.78550,   9.46005,   4.79968,  19.16013,   9.56035,   5.45270,   0.00000,   0.00000,   0.00000,   0.33262,   1.00000, 
