trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final,waitTime,instructedTarget
  1.00000,   0.00008,   0.00000,   5.17397,   9.07121,  -0.58773,  18.24979,   8.70208,   4.91843,  18.25265,   8.64893,   5.35097,   0.00000,   0.00000,   0.00000,   1.00000,   0.00008,   0.00000,   3.79271, -10.87060,  -0.34081,  19.43175,   9.35812,   4.91270,  19.13524,   9.54758,   5.25493,   0.00000,   0.00000,   0.00000,   2.18594,   2.00000, 
  1.00000,   0.00082, 529.00000,   5.17500,   9.06509,  -0.57806,  18.24875,   8.69596,   4.92811,  18.25161,   8.64281,   5.34129,   0.00000,   0.00000,   0.00000,   1.00000,   0.00082, 529.00000,   3.79504, -10.86541,  -0.34490,  19.42942,   9.35292,   4.90861,  19.13291,   9.54238,   5.25902,   0.00000,   0.00000,   0.00000,   2.18594,   2.00000, 
  1.00000,   0.00292, 530.00000,   5.17495,   9.06508,  -0.57799,  18.24880,   8.69595,   4.92818,  18.25166,   8.64279,   5.34122,   0.00000,   0.00000,   0.00000,   1.00000,   0.00292, 530.00000,   3.79498, -10.86549,  -0.34496,  19.42948,   9.35301,   4.90855,  19.13297,   9.54247,   5.25909,   0.00000,   0.00000,   0.00000,   2.18594,   2.00000, 
  1.00000,   0.00717, 531.00000,   5.17492,   9.06508,  -0.57795,  18.24884,   8.69595,   4.92822,  18.25170,   8.64279,   5.34118,   0.00000,   0.00000,   0.00000,   1.00000,   0.00717, 531.00000,   3.79494, -10.86553,  -0.34506,  19.42952,   9.35305,   4.90845,  19.13301,   9.54251,   5.25918,   0.00000,   0.00000,   0.00000,   2.18594,   2.00000, 
  1.00000,   0.01129, 532.00000,   5.17511,   9.06495,  -0.57785,  18.24865,   8.69582,   4.92831,  18.25151,   8.64266,   5.34109,   0.00000,   0.00000,   0.00000,   1.00000,   0.01129, 532.00000,   3.79498, -10.86559,  -0.34511,  19.42948,   9.35311,   4.90840,  19.13297,   9.54257,   5.25924,   0.00000,   0.00000,   0.00000,   2.18594,   2.00000, 
  1.00000,   0.01541, 533.00000,   5.17500,   9.06501,  -0.57771,  18.24876,   8.69588,   4.92846,  18.25162,   8.64272,   5.34094,   0.00000,   0.00000,   0.00000,   1.00000,   0.01541, 533.00000,   3.79505, -10.86559,  -0.34515,  19.42941,   9.35311,   4.90836,  19.13290,   9.54257,   5.25928,   0.00000,   0.00000,   0.00000,   2.18594,   2.00000, 
  1.00000,   0.01980, 534.00000,   5.17499,   9.06498,  -0.57767,  18.24877,   8.69586,   4.92850,  18.25163,   8.64270,   5.34090,   0.00000,   0.00000,   0.00000,   1.00000,   0.01980, 534.00000,   3.79512, -10.86559,  -0.34523,  19.42934,   9.35311,   4.90828,  19.13283,   9.54257,   5.25935,   0.00000,   0.00000,   0.00000,   2.18594,   2.00000, 
  1.00000,   0.02381, 535.00000,   5.17499,   9.06496,  -0.57759,  18.24876,   8.69584,   4.92858,  18.25163,   8.64268,   5.34082,   0.00000,   0.00000,   0.00000,   1.00000,   0.02381, 535.00000,   3.79519, -10.86559,  -0.34507,  19.42926,   9.35311,   4.90844,  19.13275,   9.54257,   5.25920,   0.00000,   0.00000,   0.00000,   2.18594,   2.00000, 
  1.00000,   0.02793, 536.00000,   5.17495,   9.06498,  -0.57759,  18.24881,   8.69585,   4.92858,  18.25167,   8.64269,   5.34082,   0.00000,   0.00000,   0.00000,   1.00000,   0.02793, 536.00000,   3.79524, -10.86559,  -0.34501,  19.42922,   9.35311,   4.90850,  19.13271,   9.54257,   5.25914,   0.00000,   0.00000,   0.00000,   2.18594,   2.00000, 
  1.00000,   0.03214, 537.00000,   5.17494,   9.06500,  -0.57761,  18.24882,   8.69587,   4.92855,  18.25168,   8.64271,   5.34085,   0.00000,   0.00000,   0.00000,   1.00000,   0.03214, 537.00000,   3.79533, -10.86559,  -0.34507,  19.42913,   9.35311,   4.90844,  19.13262,   9.54257,   5.25920,   0.00000,   0.00000,   0.00000,   2.18594,   2.00000, 
